"Tiffin, OH","58,683","56,745","-1,938",-3.3
"Tifton, GA","38,407","40,118","1,711",4.5
"Toccoa, GA","25,435","26,175",740,2.9
"Torrington, CT","182,193","189,927","7,734",4.2
"Traverse City, MI","131,342","143,372","12,030",9.2
"Troy, AL","29,605","32,899","3,294",11.1
"Truckee-Grass Valley, CA","92,033","98,764","6,731",7.3
"Tullahoma, TN","93,024","100,210","7,186",7.7
"Tupelo, MS","125,251","136,268","11,017",8.8
"Tuskegee, AL","24,105","21,452","-2,653",-11.0
"Twin Falls, ID","82,626","99,604","16,978",20.5
"Ukiah, CA","86,265","87,841","1,576",1.8
"Union, SC","29,881","28,961",-920,-3.1
"Union City, TN-KY","40,202","38,620","-1,582",-3.9
"Urbana, OH","38,890","40,097","1,207",3.1
"Uvalde, TX","25,926","26,405",479,1.8
"Valley, AL","36,583","34,215","-2,368",-6.5
"Van Wert, OH","29,659","28,744",-915,-3.1
"Vermillion, SD","13,537","13,864",327,2.4
"Vernal, UT","25,224","32,588","7,364",29.2
"Vernon, TX","14,676","13,535","-1,141",-7.8
"Vicksburg, MS","49,644","48,773",-871,-1.8
"Vidalia, GA","34,337","36,346","2,009",5.9
"Vincennes, IN","39,256","38,440",-816,-2.1
"Wabash, IN","34,960","32,888","-2,072",-5.9
"Wahpeton, ND-MN","25,136","22,897","-2,239",-8.9
"Walla Walla, WA","55,180","58,781","3,601",6.5
"Walterboro, SC","38,264","38,892",628,1.6
"Wapakoneta, OH","46,611","45,949",-662,-1.4
"Warren, PA","43,863","41,815","-2,048",-4.7
"Warrensburg, MO","48,258","52,595","4,337",9.0
"Warsaw, IN","74,057","77,358","3,301",4.5
"Washington, IN","29,820","31,648","1,828",6.1
"Washington, NC","44,958","47,759","2,801",6.2
"Washington Court House, OH","28,433","29,030",597,2.1
"Watertown, SD","31,437","33,130","1,693",5.4
"Watertown-Fort Atkinson, WI","74,021","83,686","9,665",13.1
"Watertown-Fort Drum, NY","111,738","116,229","4,491",4.0
"Wauchula, FL","26,938","27,731",793,2.9
"Waycross, GA","51,119","55,070","3,951",7.7
"Weatherford, OK","26,142","27,469","1,327",5.1
"West Plains, MO","37,238","40,400","3,162",8.5
"West Point, MS","21,979","20,634","-1,345",-6.1
"Whitewater, WI","93,759","102,228","8,469",9.0
